park,agency,park_zip,park_lat,park_lon,qpartysize25,qpartysize50,qpartysize75,qleadt25,qleadt50,qleadt75,qdur25,qdur50,qdur75,qdist25,qdist50,qdist75,res_count,sum_dur,sum_persnight
CEDAR CANYON,USFS,   NaN,37.5919444,-112.9033333,2,4,6,13,32,68,1,2,3,272.1,567.3,712.5,1076,2096,12415
CEDAR CREEK (Sam Tobias),USFS,   NaN,33.3613889,-105.6847222,30,40,60,23,59.5,143.5,1,2,3,17.4,171.8,206.1,484,720,39691
CEDAR CREEK (TN),USACE,37075,36.2786111,-86.5086111,2,2,5,4,22,110,2,3,4,12.9,30.3,75.1,19283,64276,202757
CEDAR CREEK FALLS,USFS,92065,32.9897222,-116.7297222,1,1,1,0,0,1,NaN,NaN,NaN,39.8,47.7,55.6,19580,0,0
CEDAR LAKE (OKLAHOMA),USFS,74939,34.7586111,-94.6944444,2,2,4,21,50,106,3,4,5,164.5,231.1,284.3,6574,27927,85047
CEDAR POINT CAMPGROUND,USFS,   NaN,34.6930556,-77.0822222,2,2,4,6,17,40,2,3,5,59.8,158.1,315.2,4461,18341,54249
CEDAR RIDGE (KS),USACE,   NaN,38.9138889,-95.3769444,2,2,4,0,5,31,2,2,4,25,42.5,63.4,10169,34843,101197
CEDAR RIDGE (MO),USACE,   NaN,37.5755556,-93.6813889,2,4,6,0,6,27,2,2,3,39.9,50.3,70.7,9102,23337,104285
CEDAR RIDGE (TX),USACE,   NaN,31.1696389,-97.4436333,2,4,8,0,12,56,2,3,4,15.9,40.1,101.4,29293,104661,538587
CEDAR SPRINGS CAMPGROUND,USFS,84097,40.9088889,-109.4497222,3,5,10,20,54,123,2,3,4,203.1,217.4,347.3,1837,6193,38192
CEDAR SPRINGS CAMPGROUND (WA) ,USFS,   NaN,46.9733333,-121.1630556,2,4,6,9,23,72,2,2,3,86.4,108.1,129.5,1285,3285,13167
CEDRO PEAK,USFS,   NaN,35.0330556,-106.3497222,35,50,75,33,75,142,1,1,2,17,22.4,29.8,410,642,38015
CEDRON CREEK,USACE,   NaN,31.9644444,-97.4141667,2,3,6,0,8,44,2,2,3,37.9,55.7,85.8,8652,26592,127468
CENTRAL FERRY PARK,USACE,94301,46.6291667,-117.8083333,2,4,5,7,25,67,2,3,3,65.8,114.7,135.3,1662,4842,21723
CENTRAL GROUP CAMP (OK) CHICKASAW NRA,NPS,73086,34.505,-96.9675,10,20,30,9,30.5,102,2,2,3,90.5,115.5,169,910,2002,40406
CERRO ALTO CAMPGROUND,USFS,   NaN,35.4275,-120.7383333,2,4,6,14,28,54,2,2,3,204.9,277.1,356.5,2975,6603,29036
CHALK LAKE,USFS,91355,38.7127778,-106.2338889,3,4,5,28,115,172,2,2,3,130.3,152.1,176,2774,7270,31788
CHALLENGE CABIN,USFS,   NaN,48.2291667,-113.3302778,2,4,5,12,35,90,1,2,2,53.1,96.2,143.5,233,416,1539
CHAMBERS LAKE,USFS,84097,40.59575,-105.8428528,2,4,5,29,114,175,2,2,3,70.3,91.8,120.8,5775,15942,67155
CHANNEL MARKER CAMPSITE ON GRAND ISLAND,USFS,   NaN,46.4561111,-86.6908333,2,2,4,5.5,10.5,19.5,1,2,2,403.5,511.7,537.8,20,36,112
CHAPMAN,USFS,   NaN,39.6294444,-120.5447222,2,4,5,9,24.5,80,2,3,4,72.2,132.8,250.5,1172,4150,15293
CHAPMAN CAMPGROUND AND GROUP,USFS,94301,39.3083333,-106.6330556,2,4,6,10,26,88,2,2,3,51.6,140.4,161.8,4655,13805,69491
CHARBONNEAU PK,USACE,99323,46.2555556,-118.8447222,2,3,5,1,22,146,2,2,3,28.3,45.3,226.1,16719,47895,185669
CHATTER CREEK GROUP SITE,USFS,   NaN,47.6083333,-120.885,20,29.5,36,88,184.5,299,2,2,3,100.3,107.3,112.9,98,241,6874
CHAVEZ CROSSING,USFS,   NaN,34.8436111,-111.7763889,20,30,30.5,42,117,225,1,2,2,136.8,156.9,170.9,1448,2877,84879
CHECATS LAKE CABIN,USFS,   NaN,55.4872167,-130.8269778,2,2,4,0.8,17,54,2,3,5,37.3,37.3,1438.6,21,71,192
CHEKAKA RECREATION AREA LAKE MENDOCINO,USACE,   NaN,39.2030556,-123.1863889,1,3,8,0,0,24.2,1,2,3,9.4,86.3,175.2,3217,6502,24991
CHEMEKETAN CAMPGROUND,USFS,   NaN,43.8475,-114.7566667,25,35,50,79.5,170,260.5,2.7,3,4,118.8,129.7,154.5,93,323,15121
CHEOAH POINT CABIN 1,USFS,   NaN,35.3691667,-83.3852778,2,4,5,13.8,44,97,2,2,3,77.3,150.3,412.2,453,1189,4498
CHEOAH POINT CABIN 2,USFS,   NaN,35.3691667,-83.3852778,2,4,4,32,103,166.8,2,2,3,79,93.4,203.6,495,1366,4961
CHEOAH POINT CAMPGROUND,USFS,   NaN,35.3691667,-83.8719444,2,3,5,4,14,37,2,3,4,115.7,249.1,631,1374,4589,16977
CHEROKEE,USACE,   NaN,33.7094444,-82.3494444,40,50,92,10,26.5,75,NaN,NaN,NaN,24.7,34.6,50.5,36,0,0
CHERRY,USFS,   NaN,40.1688889,-111.4752778,5,8,50,15,35,88,1,2,2,25.8,49.2,67.8,1790,3259,61287
CHERRY GLEN CAMPGROUND,USACE,50131,41.7313889,-93.68,2,3,4,0,8,44,2,2,4,11.9,21.1,131.4,29585,103089,307638
CHERRY GLEN PICNIC,USACE,50131,41.7319444,-93.6802778,31,50,75,20,42,87.8,1,1,1,7.3,11.5,19.7,1147,9,445
CHERRY HILL CAMPGROUND,USFS,   NaN,34.9416667,-83.0875,2,2,4,2,9,29,2,2,3,81.5,191,355,1147,2838,9314
CHERRY VALLEY,USFS,   NaN,37.9855556,-119.9169444,2,4,8,13,27,49,2,2,3,182.8,210.5,477.5,905,2101,9957
CHERRYVALE PARK,USACE,67335,37.2694444,-95.4583333,2,4,6,4,14,45,2,3,4,23.5,52.3,139.9,1497,5075,29541
CHEWALLA LAKE RECREATION AREA,USFS,   NaN,34.7327778,-89.3397222,2,3,5,6,14,35.5,1,2,3,59.8,440.1,828.7,308,569,1993
CHICKASAW HILL,USACE,   NaN,34.1638889,-89.8222222,2,4,5,4,16,45,3,3,4,19.3,72.9,112.1,905,3860,14832
CHICKEN CREEK,USACE,   NaN,35.6816667,-94.9627778,2,4,6,0,0,5,2,3,4,54.5,65.9,101.4,9226,33810,145599
CHIEF TIMOTHY PARK,USACE,94301,46.4166667,-117.1875,2,3,5,0,8,57,1,2,3,34.6,138.7,403.9,9326,22891,88390
CHILATCHEE CREEK,USACE,36726,32.1413889,-87.2741667,1,2,4,0,6,34,2,3,6,87.3,128.8,172.3,3415,16283,46848
CHILCOOT,USFS,   NaN,39.8655556,-120.1661111,2,4,6,12,28,78,2,2,3,42.1,48.9,58,1622,4152,16927
CHILDS GLACIER RECREATION AREA,USFS,   NaN,60.6608333,-144.7627778,2,2,4,13.2,34,84.5,1,2,2,277.2,352.5,3834.2,167,335,965
CHILHOWEE CAMPGROUND,USFS,   NaN,35.15375,-84.6091194,2,4,5,7,16,29,2,2,3,40.7,99.7,229,367,1080,3885
CHILHOWEE GROUP CAMP,USFS,   NaN,35.1536111,-84.6088889,21,30,50,24.5,58.5,147,1,2,2.5,53.7,134.7,285.6,72,139,5386
CHILKOOT,USFS,94301,37.3627778,-119.5386111,2,4,6,11,24,47,2,2,3,214.9,363.8,558.1,1828,4280,16726
CHINQUAPIN GROUP CAMPGROUND,USFS,   NaN,42.1402778,-123.4558333,20,30,60,36,96,164.5,1,3,3,11,52.4,349.9,76,208,8148
CHIPPEWA,USFS,54451,45.2225,-90.7052778,3,5,8,12,37,117,2,3,3,42,83.4,186.5,1593,4829,31828
CHIPPEWA LOOP,USFS,56630,47.3786111,-94.5213889,2,4,5,31,91,160,2,3,4,101.1,178.3,247.8,3124,11409,46890
CHISHOLM CAMPGROUND,USFS,   NaN,45.4747222,-110.9561111,2,4,6,13,50,132,2,2,3,23.7,28.1,181.6,1483,3494,14883
CHISHOLM COVE GROUP SITE- EAST PARK RESERVOIR,BOR,14841,39.3541667,-122.4936111,21.2,40,50,117.8,188,276.5,2,3,4,117.3,132.4,155.1,99,319,15027
CHISHOLM TRAIL RIDGE,USACE,   NaN,34.2591667,-98.035,2,6,8,0,2,21,2,3,5,27.3,40.4,69.6,5900,23387,123759
CHISOS BASIN (BIG BEND),NPS,79834,29.275,-103.3041667,2,2,4,15,41,91,1,2,3,547.1,733.6,938,8193,21773,73672
CHISOS BASIN GROUP CAMPGROUND,NPS,79834,29.275,-103.3041667,9,11,15,37,121.5,296,2,3,4,536.6,551.6,747.8,1784,5727,72048
CHITTENDEN BROOK CAMPGROUND,USFS,   NaN,43.8244444,-72.9088889,2,2,3,4,6,12,1,2,3,206.9,223.8,356.9,71,155,356
CHOCTAW,USACE,   NaN,35.5355556,-92.3811111,3,4,6,9,30,131,2,3,4,40,55.6,75.2,5382,19201,86579
CHOCTAW LAKE,USFS,   NaN,33.2716667,-89.1436111,2,4,7,8,19,45,2,3,3,28.7,55,176.6,778,1975,7781
CHRIS PARK,USFS,91355,37.5163889,-107.8,25,49,75,58,158.5,329,1,2,3,27.7,97.3,310.4,630,1588,80133
CHRISTIE CAMPGROUND,USFS,   NaN,40.5663889,-120.8387833,2,4,8,9,26,81.2,3,3,4,139.8,163.9,283.7,1377,5596,32600
CHRISTMAS CREEK CABIN,USFS,   NaN,45.7813889,-116.6183333,2.8,5,8,79.8,91,97.8,3.5,5,7.2,304.7,539.4,540.9,3,16,77
CHRISTMAS MEADOWS CAMPGROUND,USFS,   NaN,40.8005556,-110.8241667,3,5,8,24,98,170,2,3,3,87.7,94.9,108.8,1073,2868,15765
CHRISTOPHER CREEK,USFS,   NaN,34.3080556,-111.0347222,4,10,15,19,50,134,2,2,3,122.6,130.9,142.1,945,2139,23769
CHURCH BIGHT CABIN,USFS,99801,57.4257028,-133.928525,2,3,4,12,49.5,130,2,3,6,107.3,107.3,1020.9,84,325,1016
CHUTE GROUP,USFS,   NaN,39.5519444,-111.1755556,11.8,20,31.2,19.5,66,162.2,2,3,3,99,141.7,154.6,45,126,3204
CIENEGA PICNIC AREA,USFS,   NaN,35.1697222,-106.3841667,30,50,50,13,26,39,NaN,NaN,NaN,11,18.9,24.1,106,0,0
CIMARRON CAMPGROUND,USFS,   NaN,36.7703,-105.2054,2,3,4,14,25,53.8,2,3,4,210.4,240.3,844.4,287,1066,3746
CIRCLE PARK CAMPGROUND,USFS,   NaN,44.2827639,-106.9905278,2,4,5,6,14.5,42,1,2,3,202.7,702.8,1248.1,92,192,764
CIRCLE X RANCH GROUP CAMPGROUND,NPS,   NaN,34.1097222,-118.9372222,12,25,30,25,96,170,1,2,2,39.4,48.1,67.2,301,501,13689
CJ BROWN DAM AND RESERVOIR - DAM SITE (OH),USACE,   NaN,39.9569444,-83.7477778,30,50,75,14,51,95,NaN,NaN,NaN,2.6,6.7,13.4,124,0,0
CLACKAMAS LAKE,USFS,94301,45.0958333,-121.7472222,2,4,6,7,17,41.2,2,2,3,76.7,86.1,99.2,3021,6525,25912
CLACKAMAS LAKE HISTORIC CABIN,USFS,94301,45.0991667,-121.7488889,4,6,8,72,154.5,181,2,2,3,80.8,85.8,119.1,314,857,4951
CLARK CREEK NORTH,USACE,30120,34.0972222,-84.6805556,2,4,6,0,0,26,1,2,4,20.3,28,59.2,4523,14491,63418
CLARK CREEK ORGANIZATION CAMP,USFS,   NaN,43.9736111,-122.5822222,35,50,80,110.5,267,361,2,2,3,41.5,43.8,53.8,263,667,37310
CLARKS FERRY,USACE,   NaN,41.4663889,-90.8094444,2,2,3,0,0,10,2,3,5,20.7,36.7,146.6,5653,22269,50640
CLARKS HILL,USACE,   NaN,33.6725,-82.1888889,6,12,30.5,5,11,25.5,1,1,1,18.4,28.2,41.6,408,8,69
CLAY HILL,USACE,   NaN,33.6657778,-82.4408333,3,5,8,4,10,20,2,3,3,30.5,50.5,162.9,110,340,1957
CLE ELUM RIVER GROUP SITE,USFS,   NaN,47.3497194,-121.1033306,26,50,85,115,222.5,329,2,2,3,84,94.6,104.1,154,407,22404
CLEAR CREEK (AL),USFS,   NaN,34.0213889,-87.2691667,3,6,40,12,27,61,2,3,4,21.1,44.4,91.6,2226,4236,20350
CLEAR CREEK (AR),USACE,72034,35.47028,-93.81806,1,1,1,0,0,3,3,5,8,37.4,47.8,54.4,12,70,84
CLEAR CREEK (MS),USACE,   NaN,34.4269444,-89.7097222,2,3,4,4,9,27.5,1,2,3,83.4,216.2,476.8,324,819,2987
CLEAR CREEK CAMPGROUND (NM),USFS,   NaN,35.9858333,-106.8125,2,4,6,8,23,43,2,2,3,78.1,95.8,105.3,223,504,3972
CLEAR CREEK GROUP (AZ),USFS,   NaN,34.5155556,-111.7644444,20,30,58.5,21,50,96.2,1,2,2,101.7,115.9,131.9,429,805,30186
CLEAR CREEK GUARD STATION,USFS,   NaN,42.5263889,-111.17,2.5,4,6,5,21,62,2,2,4,105.5,149.5,301.9,156,465,2592
CLEAR LAKE (OR),USFS,94301,45.1811111,-121.6963889,2,4,6,9,34,119,2,2,3,76.1,84.4,97.5,4627,10169,42230
CLEAR LAKE (TX),USACE,   NaN,33.0552778,-96.4819444,2,2,5,0,6,31,1,2,3,12.3,23.3,36.4,3406,11169,53375
CLEAR LAKE CABIN LOOKOUT,USFS,   NaN,45.1494444,-121.7161111,2,2,4,137.5,179,183,1,2,2,81.6,84.9,93.3,969,1772,5039
CLEAR LAKE GROUP SITE,USFS,   NaN,46.6311111,-121.2666667,15,30,40,44.8,143,239,2,2,3,56.7,120.4,144.9,209,544,14493
CLEAR SPRING,USACE,75501,33.3583333,-94.1916667,1,2,3,0,1,17,2,3,5,11,30.9,110.4,26668,117348,294583
CLEARWATER BIG HOUSE,USFS,99347,46.2005556,-117.5680556,4,5,7,19,63,151.8,2,2,3,63,140.1,369.6,207,668,3619
CLEARWATER CAMPGROUND,USFS,   NaN,44.4622222,-109.6683333,2,4,12,11,27.5,74,1,1,3,305.9,1293.7,1868.9,186,375,4208
CLEARWATER LAKE REC AREA,USFS,   NaN,28.9794444,-81.555,2,4,5,8,17,34,2,2,3,39.4,68,194.6,3522,9675,33164
CLEARWATER LOOKOUT CABIN,USFS,99347,46.25,-117.625,2,2,4,8,23,58.8,1.3,2,3,154.6,376.1,399.4,131,350,982
CLEATOR BEND,USFS,   NaN,44.7779861,-121.9994194,20,30,40,110,233.5,351,2,3,3,81.2,89.1,96.9,94,271,8168
CLOVERLEAF CAMPGROUND,USFS,   NaN,42.095,-111.5316667,5,8,12,43.5,148,181,2,3,4,82.4,121.1,165.2,1320,4470,53696
CLUBHOUSE LAKE,USFS,56636,47.6097222,-93.5769444,2,4,6,13,36,95,2,3,5,40.5,144.6,288.3,1075,4309,19116
COAL MINE,USFS,87020,35.2341667,-107.7013889,2,4,6,6,22,77,1,1.5,2,104,692.4,1808.9,140,230,1065
COBB RIDGE,USFS,   NaN,36.8919444,-93.1091667,3,4,7,8,22,52,2,2,3,163.7,259.2,297.5,2574,7462,41343
COBBETT LAKE,USFS,   NaN,39.0413889,-107.9830556,2,3,5,9,18,46,2,2,3,69.3,260,284.4,509,1296,5281
COCHITI AREA,USACE,87041,35.6416667,-106.325,2,2,4,0,0,6,1,2,3,58.8,71.7,733.6,18718,46036,129258
COCHRANE,USACE,   NaN,33.0842,-88.2697,2,3,4,0,0,0,2,3,6,55.9,78.7,128.5,2849,13635,43789
COEUR DALENE,USACE,   NaN,38.4976028,-95.7179111,3,5,8,0,4,34,1,2,3,40.2,63.1,102.4,5300,12071,60844
COGHILL LAKE CABIN,USFS,   NaN,61.0822222,-147.8611111,2,4,5,51.8,139,178.2,2,3,4,99.3,110.3,143.4,205,628,2405
COHO CAMPGROUND,USFS,   NaN,47.4580556,-123.6022222,2,4,6,12,40,98,2,2,3,68.8,94.5,120.6,2750,6215,27176
COLD CREEK,USFS,   NaN,39.5427778,-120.3147222,2,4,6,5,9,19,2,2,3,82.4,169.5,262.3,171,399,1537
COLD RIVER,USFS,   NaN,44.2644444,-71.0133333,2,3,6,9,15,30,2,2,3,80,97.1,213.4,534,1298,4940
COLD SPRINGS,USFS,   NaN,39.8416667,-105.4941667,2,4,5,12,28,65,2,2,3,36.8,47.3,63.6,2668,6201,23581
COLD SPRINGS CABIN,USFS,   NaN,44.3566667,-120.1316667,2,4,7,65.2,161,181,2,2,3,99.6,236,244.1,315,888,4558
COLD SPRINGS CAMPGROUND,USFS,83638,44.9488889,-116.44,3,6,10,7,16,44,2,2,3,143.3,146.3,154.7,624,1569,18073
COLD SPRINGS CAMPGROUND (OR),USFS,   NaN,44.3091861,-121.6306278,2,3,4,9,15,27,1,2,3,126.8,156,373.7,233,508,1708
COLD SPRINGS CAMPGROUND - BOISE NF,USFS,   NaN,44.1933333,-116.1127778,15,22,30,5,18.5,61,1,1,3,71.7,79.3,456.6,18,42,1275
COLD SPRINGS GROUP CAMP (OK) CHICKASAW NRA,NPS,73086,34.505,-96.9675,11,20,30,9,25,62.8,2,2,3,101.8,136.9,177.5,255,601,12064
COLD SPRINGS PEAK CABIN,USFS,83544,46.7872222,-115.3033333,2,2,4,19.2,42,125,2,2,3,111,162.2,364.3,57,137,359
COLD WATER COVE,USFS,   NaN,44.3638889,-121.9888889,2,4,6,20,75,161,2,2,3,96.3,114.9,139.4,2397,6680,27285
COLDWATER CAMPGROUND,USFS,94301,37.5991667,-118.9969444,2,4,6,18,53,130,2,3,4,357.6,413.1,459.3,7304,25156,104705
COLES CREEK DAY USE,USACE,62231,38.6580556,-89.2663889,30,50,70,8.2,27,73.8,NaN,NaN,NaN,17.6,30.2,65,111,0,0
COLES CREEK REC AREA,USACE,62231,38.6569444,-89.2602778,2,4,8,0,0,30,2,3,4,23.4,56.1,77.1,19712,66074,311129
COLES POINT ,USFS,   NaN,37.9502778,-79.9622222,31,50,50,31,74,178,NaN,NaN,NaN,20.6,20.6,20.6,114,0,0
COLES POINT PICNIC SHELTER 2,USFS,   NaN,37.9444444,-79.9680556,50,50,50,71,167.5,198,NaN,NaN,NaN,19.8,19.8,19.8,66,0,0
COLLEGE,USFS,94301,37.2519444,-119.1688889,2,4,6,2,17,82.3,2,2,3,81.1,249,344.9,1541,4168,18521
COLLEGIATE PEAKS,USFS,91355,38.8130556,-106.3152778,2,4,6,19,53,124,2,2,3,138.2,153.7,183.6,6653,18245,81097
COLLINS CREEK PICNIC PAVILION,NPS,   NaN,35.5672222,-83.3338889,1,20,50,11,33,83,1,1,2,16.2,40.7,201.7,250,7,95
COLORADO CAMPGROUND,USFS,91355,39.0797222,-105.0933333,3,4,6,10,25,66,2,2,3,36.2,53.2,71.6,5409,13297,62538
COLTON GUARD STATION,USFS,   NaN,40.6672222,-109.5186111,4,4,4,25,77,155,1,2,3,56.4,199,217.6,359,1003,3629
COLUMBINE CAMPGROUND,USFS,   NaN,39.8148083,-105.5518444,2,4,5,14,32,87,2,2,3,42.3,52.7,67.3,3254,7520,30104
COLUMBINE CAMPGROUND (NM),USFS,84319,36.68,-105.5142,2,3,5,10,17,32,2,3,4,206.1,368.5,851.1,222,740,2560
COLWELL LAKE CAMPGROUND,USFS,   NaN,46.2216667,-86.4375,2,4,6,14,45.5,142,2,4,6,32.4,89.5,422.4,1450,6530,30121
COMANCHE PARK,USFS,   NaN,43.7363889,-103.7022222,2,2,4,6,14,36.5,1,2,3,457.2,864.9,1531.4,727,1938,6282
CONEROSS PARK,USACE,   NaN,34.5911111,-82.8972222,2,4,7,2,14,66,2,3,4,27.3,44.3,83,14122,51798,262587
CONGO GULCH,USFS,97880,44.7963889,-118.4983333,4,6,7,12,44,122,2,2,4,151.1,325.9,359.8,234,711,4257
CONTORTA FLAT CAMPGROUND,USFS,   NaN,43.4591889,-121.9965278,2,4,6,11,30,48.7,2,2,3,91.7,132.3,231,187,509,2249
CONTORTA POINT GROUP CAMP,USFS,   NaN,43.4613889,-122.0075,20,25,40,121,292.5,360,3,3,5,85.1,104.2,155,286,1212,33782
CONTROL LAKE CABIN,USFS,   NaN,55.6944444,-132.8636111,3,4,6,1,7,39,1,2,3,28.2,28.2,1181.3,280,685,3071
CONVICT LAKE CAMPGROUND,USFS,   NaN,37.5988889,-118.8508333,2,4,6,23,67,139,2,3,4,354.4,403.2,439.1,11369,36632,139912
COOK DAY USE AREA,USACE,37214,36.1366667,-86.5958333,40,50,75,10,21,44,NaN,NaN,NaN,6.8,13.2,22.4,395,0,0
COOK LAKE REC AREA,USFS,   NaN,44.5947222,-104.4086111,2,4,5,6,12,30,2,2,3,94.7,119.7,193.9,725,1803,6938
COOKSON BEND,USACE,   NaN,35.7066667,-94.96,1,3,6,0,0,0,2,3,5,39,70.3,153.1,6864,25937,97007
COOKSON LAKE DISPERSED CAMPSITE,USFS,   NaN,46.4147222,-86.6330556,2,5,8,9.3,51,137,3,4,6,37.7,58.5,410.7,383,1782,11544
COON CREEK (IL),USACE,   NaN,39.4513889,-88.7625,2,4,6,0,0,20,2,3,4,44.2,86.3,158.3,19221,64893,283024
COON CREEK (OK),USACE,   NaN,36.7849167,-96.9229667,2,4,6,0,5,27,2,3,4,21.6,51.9,111.9,7871,26206,116617
COON CREEK GROUP CAMPGROUND,USFS,94301,34.1488889,-116.7094444,15,20,25,15,31,71,2,2,2,55.2,113.8,138.2,118,245,4592
COOPER CREEK SOUTH,USFS,   NaN,60.4847222,-149.8858333,2,4,5,12,35,102,2,2,3,73.9,81.7,170.3,1945,5363,21285
COPAN POINT,USACE,   NaN,36.89265,-95.9542222,25,40,45,9,22,66.5,2,2,2,7.6,20.1,21.5,116,4,94
COPPERAS CREEK,USACE,   NaN,31.9666667,-98.5041667,1,2,4,0,0,17,2,3,5,34,72.6,179.4,12816,52718,184954
CORINTH RECREATION AREA,USFS,   NaN,34.105,-87.32,2,3,5,9,22,51,2,3,4,55.2,96.2,271.1,1308,4423,13723
COSBY CAMPGROUND,NPS,   NaN,35.7533333,-83.2086111,2,2,4,3,13,32,1,2,3,268.6,581.3,848,8855,19973,61254
COSBY GROUP CAMP,NPS,   NaN,35.7527778,-83.2061111,11,17,20,16,42,80,1,2,2,90.8,327.3,652.4,897,1892,29464
COSBY PICNIC PAVILION,NPS,   NaN,35.7713889,-83.2072222,28.2,41,51,18,53,125,1,1,2,4.6,24.5,59.4,587,25,1196
COSSATOT REEFS,USACE,   NaN,34.2067417,-94.2313167,1,2,4,0,0,9,2,3,6,22.3,57.6,134.3,6411,31604,97262
COTTON HILL,USACE,39851,31.6744444,-85.0641667,2,3,4,0,0,26,2,3,5,66.6,98.9,168.9,22319,95433,309032
COTTONSHED PARK (AR),USACE,   NaN,36.7964722,-43.9612806,2,2,3,3,15,32,3,6,12,4448.1,4493.4,4523.6,304,2195,5460
COTTONWOOD (CA),USFS,   NaN,39.8847222,-120.2366667,3,6,6,13.7,33,108,2,2,3,38.6,55.1,72.8,905,2432,25819
COTTONWOOD (NE),USACE,   NaN,42.8586111,-97.4825,2,2,4,0,0,52,2,3,4,51.1,92.6,156.6,16820,62069,174510
COTTONWOOD (TX),NPS,79834,29.1369444,-103.5222222,9,10,17,10,34,77,1,2,3,509.5,609.6,917.8,218,519,6990
COTTONWOOD CABIN,USFS,98822,48.0219444,-120.6422222,2,3,4,31,76.5,146,2,2,3,125.2,138.5,181.8,192,511,1533
COTTONWOOD CAMP,USFS,   NaN,40.9133333,-109.2894444,3,6,10,11,25.5,56,1,1,2,205.7,217.7,323.1,210,345,2067
COTTONWOOD CAMPGROUND (WA),USFS,   NaN,46.9072222,-121.0261111,2,3,5,5,12,28.5,2,2,3,105,124.9,136,772,1784,6353
COTTONWOOD CREEK,USFS,   NaN,39.5494444,-120.3163889,2,3,5,5,10,21,2,2,3,48.1,115.1,243.1,433,1183,3760
COTTONWOOD GROUP,NPS,   NaN,33.75,-115.825,10,15,20,18,60,177,1,2,2,175.7,212,243.8,1871,3300,51259
COTTONWOOD GROUP CAMPSITE,USFS,83110,42.6411111,-110.8169444,19.2,25,25,36.8,99,163.5,2,2,3,23.3,140.1,211,63,158,3864
COTTONWOOD GROUP PICNIC SITE,USFS,83110,42.6383333,-110.8163889,25,31,50,16.8,32,88.5,NaN,NaN,NaN,10.1,16.7,49.2,21,0,0
COTTONWOOD POINT,USACE,66861,38.3888889,-97.0888889,2,2,4,0,0,18,2,3,4,43.7,71.2,86.3,12967,46263,153165
COTTONWOOD RECREATION AREA,USACE,50131,41.6905556,-93.6747222,40,60,100,18,34,68,1,1,1,6,10,14,1774,16,513
COUGAR CROSSING CAMPGROUND,USFS,   NaN,44.0577778,-122.2198083,2.2,4,6,7.5,15,49,2,2,3,82.5,162.1,211.3,59,139,626
COUGAR FLAT,USFS,   NaN,46.9169444,-121.2336111,2,4,6,6,19,51,2,2,3,89.4,110,140.5,374,900,3732
COUGAR PEAK LOOKOUT,USFS,59859,47.7444444,-115.3830556,2,2,4,25.7,74,148.3,1,1,2,95.3,141.7,358.1,321,503,1353
COUGAR ROCK CAMPGROUND,NPS,98304,46.7672222,-121.7944444,2,3,4,17,46,107,1,2,3,99.7,123.6,818.2,24046,51214,182550
COUGAR ROCK GROUP CAMPGROUND,NPS,98304,46.7672222,-121.7944444,14,20,25,39,138,245,2,2,3,93.1,108.3,158.6,1099,2407,50674
COULTER GROUP CAMPGROUND,USFS,   NaN,34.3227778,-118.0177778,25,35,50,29,66,110,1,2,2,35.5,47.8,59.8,301,490,17508
COUNCIL,USFS,94301,34.1713889,-116.8816667,40,50,50,37.5,90,143.5,2,2,2,54.7,96.1,113.7,212,459,19987
COUNCIL BLUFF RECREATION AREA,USFS,63664,37.7083333,-90.9416667,3,6,11,7,14,31,2,2,3,69.6,105.6,119.6,1401,2973,22510
COUNCIL LAKE DISPERSED CAMPSITE,USFS,   NaN,46.4091667,-86.6491667,2,4,8,5,24,111,2,3,5,54.3,383.1,515.7,459,1892,9653
COUNTY LINE,USACE,   NaN,34.9633333,-93.1880556,3,4,5,0,0,4,2,2,4,42.3,70.1,90.4,957,3683,14390
COURT SHERIFF CAMPGROUND,BOR,   NaN,46.6579361,-111.7077167,2,4,6,7,31,115,2,2,3,34.9,96.6,142.2,1231,3554,15578
COVE CAMPGROUND,USFS,   NaN,38.9105556,-105.4602778,3,4,8,27,96.5,167.5,2,2,3,55.2,77.3,100.2,1036,2521,12206
COVE CREEK,USFS,   NaN,44.7120167,-122.1586111,4,6,8,18,58,138,2,3,4,73.8,89.6,101.7,3229,9755,77561
COVE CREEK LOWER GROUP CAMP,USFS,   NaN,35.2997222,-82.8163889,30,53,68.7,105.2,334,364,2,2,3,35,45.4,181.6,519,1419,85398
COVE CREEK UPPER GROUP CAMP,USFS,   NaN,35.2997222,-82.8163889,25,50,60,109.2,330,365,2,2,3,35,68.2,202.3,503,1445,74982
COVE GROUP,USFS,94301,36.665,-118.8380556,30,40,50,68,162,296,2,3,3,250.9,297.9,322.1,154,433,17017
COVE LAKE RECREATION AREA,USFS,   NaN,35.2244444,-93.6225,3,4,6,8,15,39,2,2,3,51.9,73.8,213.6,889,2239,9297
COVERED BRIDGE,USFS,   NaN,44.0033333,-71.2322222,2,4,6,18,38,89,2,2,3,117.4,171.7,228.6,4510,13166,56333
COW CREEK SOUTH,USFS,   NaN,39.8794444,-106.2772222,4,6,10,19,48,131,2,2,3,84,108,120,3407,9149,76387
COWHIDE COVE,USACE,   NaN,34.1744444,-93.6686111,1,2,4,0,0,22,2,4,7,26.2,81.4,144.8,5368,25892,75714
COWLINGTON POINT,USACE,   NaN,35.3033333,-94.8283333,2,4,5,10,32,89,3,4,6,17.9,27.6,41.5,1195,5805,22985
